TimeStamp (ms); Total Power (W); CPU (W); Monitor (W); Disk (W); Base (W); Application (W)
63476249185795;33,2;1,7;--;0,0;31,6;--
63476249186922;31,6;0,0;--;0,0;31,6;--
63476249187949;32,5;0,9;--;0,0;31,6;--
63476249188995;31,6;0,0;--;0,0;31,6;--
63476249190086;34,3;2,8;--;0,0;31,6;--
63476249191146;31,6;0,0;--;0,0;31,6;--
63476249192210;32,1;0,5;--;0,0;31,6;--
63476249193220;31,7;0,1;--;0,0;31,6;--
63476249194329;33,0;1,5;--;0,0;31,6;--
63476249195373;31,6;0,0;--;0,0;31,6;--
63476249196453;32,8;1,3;--;0,0;31,6;--
63476249197513;31,6;0,0;--;0,0;31,6;--
63476249198557;35,0;3,5;--;0,0;31,6;--
63476249199602;31,6;0,0;--;0,0;31,6;--
63476249200664;32,8;1,2;--;0,0;31,6;--
63476249201676;32,0;0,5;--;0,0;31,6;--
63476249202821;32,8;1,3;--;0,0;31,6;--
63476249203868;31,6;0,0;--;0,0;31,6;--
63476249204892;35,5;4,0;--;0,0;31,6;--
63476249205985;31,6;0,0;--;0,0;31,6;--
63476249207004;31,7;0,2;--;0,0;31,6;--
63476249208121;33,1;1,5;--;0,0;31,6;--
63476249209149;31,6;0,0;--;0,0;31,6;--
63476249210242;31,6;0,0;--;0,0;31,6;--
63476249211272;36,6;5,0;--;0,0;31,6;--
63476249212334;31,6;0,0;--;0,0;31,6;--
63476249213413;32,0;0,4;--;0,0;31,6;--
63476249214422;31,9;0,4;--;0,0;31,6;--
63476249215450;32,3;0,8;--;0,0;31,6;--
63476249216598;31,6;0,0;--;0,0;31,6;--
63476249217620;32,2;0,7;--;0,0;31,6;--
63476249218711;32,1;0,5;--;0,0;31,6;--
63476249219724;33,2;1,6;--;0,0;31,6;--
63476249220789;31,6;0,0;--;0,0;31,6;--
63476249221879;34,2;2,6;--;0,0;31,6;--
63476249222942;31,6;0,0;--;0,0;31,6;--
63476249224023;31,6;0,0;--;0,0;31,6;--
63476249225030;31,9;0,4;--;0,0;31,6;--
63476249226043;32,4;0,8;--;0,0;31,6;--
63476249227183;31,7;0,1;--;0,0;31,6;--
63476249228198;32,1;0,5;--;0,0;31,6;--
63476249229228;31,7;0,1;--;0,0;31,6;--
63476249230351;33,2;1,6;--;0,0;31,6;--
63476249231397;31,6;0,0;--;0,0;31,6;--
63476249232489;32,7;1,1;--;0,0;31,6;--
63476249233499;31,7;0,1;--;0,0;31,6;--
63476249234609;31,8;0,3;--;0,0;31,6;--
63476249235653;32,7;1,1;--;0,0;31,6;--
63476249236747;31,6;0,0;--;0,0;31,6;--
63476249237790;33,5;2,0;--;0,0;31,6;--
63476249238853;31,6;0,0;--;0,0;31,6;--
63476249239913;36,6;5,0;--;0,0;31,6;--
63476249240926;31,6;0,0;--;0,0;31,6;--
63476249241986;33,0;1,5;--;0,0;31,6;--
63476249243078;31,6;0,0;--;0,0;31,6;--
63476249244092;32,2;0,6;--;0,0;31,6;--
63476249245107;32,0;0,5;--;0,0;31,6;--
63476249246246;32,4;0,8;--;0,0;31,6;--
63476249247340;31,7;0,2;--;0,0;31,6;--
63476249248399;34,8;3,3;--;0,0;31,6;--
63476249249413;31,6;0,0;--;0,0;31,6;--
63476249250441;32,1;0,6;--;0,0;31,6;--
63476249251567;32,0;0,4;--;0,0;31,6;--
63476249252579;31,9;0,3;--;0,0;31,6;--
63476249253617;31,8;0,3;--;0,0;31,6;--
63476249254703;33,9;2,3;--;0,0;31,6;--
63476249255715;31,6;0,0;--;0,0;31,6;--
63476249256843;33,3;1,8;--;0,0;31,6;--
63476249257902;31,6;0,0;--;0,0;31,6;--
63476249258996;32,1;0,5;--;0,0;31,6;--
63476249260005;34,7;3,2;--;0,0;31,6;--
63476249261020;32,5;0,9;--;0,0;31,6;--
63476249262126;31,6;0,0;--;0,0;31,6;--
63476249263174;31,6;0,1;--;0,0;31,6;--
63476249264270;32,1;0,5;--;0,0;31,6;--
63476249265277;31,8;0,2;--;0,0;31,6;--
63476249266292;33,2;1,6;--;0,0;31,6;--
63476249267307;32,5;0,9;--;0,0;31,6;--
63476249268429;31,6;0,0;--;0,0;31,6;--
63476249269451;32,4;0,9;--;0,0;31,6;--
63476249270598;32,0;0,4;--;0,0;31,6;--
63476249271610;32,3;0,8;--;0,0;31,6;--
63476249272769;33,1;1,5;--;0,0;31,6;--
63476249273844;32,0;0,4;--;0,0;31,6;--
63476249274895;31,6;0,0;--;0,0;31,6;--
63476249275919;34,0;2,4;--;0,0;31,6;--
63476249276981;31,6;0,0;--;0,0;31,6;--
63476249278055;36,0;4,4;--;0,0;31,6;--
63476249279068;31,6;0,0;--;0,0;31,6;--
63476249280194;31,6;0,0;--;0,0;31,6;--
63476249281205;32,7;1,1;--;0,0;31,6;--
63476249282234;31,6;0,0;--;0,0;31,6;--
63476249283380;32,6;1,1;--;0,0;31,6;--
63476249284422;33,4;1,8;--;0,0;31,6;--
63476249285498;31,6;0,0;--;0,0;31,6;--
63476249286532;32,8;1,2;--;0,0;31,6;--
63476249287616;31,6;0,0;--;0,0;31,6;--
63476249288650;32,7;1,1;--;0,0;31,6;--
63476249289693;31,6;0,0;--;0,0;31,6;--
63476249290806;34,4;2,9;--;0,0;31,6;--
63476249291813;31,6;0,0;--;0,0;31,6;--
63476249292929;37,6;6,0;--;0,0;31,6;--
63476249293975;31,6;0,0;--;0,0;31,6;--
63476249294981;32,3;0,7;--;0,0;31,6;--
63476249295996;33,2;1,6;--;0,0;31,6;--
63476249297024;32,6;1,1;--;0,0;31,6;--
63476249298117;31,6;0,0;--;0,0;31,6;--
63476249299131;34,6;3,0;--;0,0;31,6;--
63476249300275;31,6;0,0;--;0,0;31,6;--
63476249301317;33,7;2,2;--;0,0;31,6;--
63476249302397;31,6;0,0;--;0,0;31,6;--
63476249303421;34,4;2,8;--;0,0;31,6;--
63476249304434;31,8;0,3;--;0,0;31,6;--
63476249305557;31,6;0,0;--;0,0;31,6;--
63476249306571;32,3;0,7;--;0,0;31,6;--
63476249307587;31,6;0,0;--;0,0;31,6;--
63476249308698;33,0;1,5;--;0,0;31,6;--
63476249309725;32,5;0,9;--;0,0;31,6;--
63476249310846;31,8;0,2;--;0,0;31,6;--
63476249311863;33,3;1,7;--;0,0;31,6;--
63476249313014;31,6;0,0;--;0,0;31,6;--
63476249314028;32,5;0,9;--;0,0;31,6;--
63476249315166;32,3;0,7;--;0,0;31,6;--
63476249316196;31,6;0,0;--;0,0;31,6;--
63476249317310;32,7;1,1;--;0,0;31,6;--
63476249318319;32,5;1,0;--;0,0;31,6;--
63476249319381;31,6;0,0;--;0,0;31,6;--
63476249320456;32,7;1,1;--;0,0;31,6;--
63476249321468;34,4;2,8;--;0,0;31,6;--
63476249322491;31,6;0,0;--;0,0;31,6;--
63476249323626;31,6;0,0;--;0,0;31,6;--
63476249324653;32,2;0,6;--;0,0;31,6;--
63476249325665;32,0;0,4;--;0,0;31,6;--
63476249326774;33,8;2,3;--;0,0;31,6;--
63476249327808;31,6;0,0;--;0,0;31,6;--
63476249328817;36,8;5,3;--;0,0;31,6;--
63476249329912;31,6;0,0;--;0,0;31,6;--
63476249330925;33,9;2,3;--;0,0;31,6;--
63476249331938;31,6;0,0;--;0,0;31,6;--
63476249333076;31,6;0,1;--;0,0;31,6;--
63476249334233;31,6;0,0;--;0,0;31,6;--
63476249335260;31,9;0,4;--;0,0;31,6;--
63476249336385;33,2;1,6;--;0,0;31,6;--
63476249337399;33,7;2,1;--;0,0;31,6;--
63476249338410;31,9;0,3;--;0,0;31,6;--
63476249339425;31,6;0,0;--;0,0;31,6;--
63476249340508;31,6;0,0;--;0,0;31,6;--
63476249341532;31,6;0,0;--;0,0;31,6;--
63476249342569;32,0;0,4;--;0,0;31,6;--
63476249343654;33,4;1,8;--;0,0;31,6;--
63476249344666;31,7;0,2;--;0,0;31,6;--
63476249345777;33,6;2,0;--;0,0;31,6;--
63476249346788;31,6;0,0;--;0,0;31,6;--
63476249347817;31,9;0,4;--;0,0;31,6;--
63476249348831;31,6;0,0;--;0,0;31,6;--
63476249349941;32,8;1,3;--;0,0;31,6;--
63476249351158;31,6;0,0;--;0,0;31,6;--
63476249352172;31,6;0,0;--;0,0;31,6;--
63476249353294;33,0;1,4;--;0,0;31,6;--
63476249354308;32,4;0,9;--;0,0;31,6;--
63476249355455;32,7;1,1;--;0,0;31,6;--
63476249356468;31,6;0,0;--;0,0;31,6;--
63476249357584;31,6;0,0;--;0,0;31,6;--
63476249358637;32,9;1,4;--;0,0;31,6;--
63476249359709;31,7;0,1;--;0,0;31,6;--
63476249360751;35,9;4,4;--;0,0;31,6;--
